0.004352	0.003570 
0.000330	0.000257 
0.000177	0.000130 
0.000116	0.000114 
0.000098	0.000087 
0.000098	0.000087 
0.000093	0.000081 
0.000090	0.000079 
0.000083	0.000069 
0.000090	0.000066 
0.000095	0.000075 
0.000094	0.000065 
0.000109	0.000066 
0.000115	0.000093 
0.000131	0.000106 
0.000147	0.000128 
0.000215	0.000143 
0.000308	0.000160 
0.000443	0.000183 
0.000477	0.000198 
0.000467	0.000202 
0.000473	0.000207 
0.000468	0.000214 
0.000555	0.000232 
0.000521	0.000227 
0.000559	0.000255 
0.000641	0.000259 
0.000620	0.000274 
0.000627	0.000343 
0.000709	0.000321 
0.000755	0.000370 
0.000793	0.000422 
0.000796	0.000424 
0.000875	0.000469 
0.000924	0.000538 
0.001016	0.000564 
0.001047	0.000600 
0.001176	0.000635 
0.001355	0.000732 
0.001420	0.000822 
0.001576	0.000883 
0.001626	0.000957 
0.001690	0.001058 
0.001882	0.001156 
0.002062	0.001270 
0.002248	0.001382 
0.002360	0.001446 
0.002502	0.001622 
0.002677	0.001710 
0.002940	0.001924 
0.003101	0.002156 
0.003423	0.002344 
0.003702	0.002558 
0.004067	0.002780 
0.004528	0.002977 
0.004865	0.003402 
0.005353	0.003674 
0.005962	0.004033 
0.006607	0.004385 
0.007416	0.004772 
0.008002	0.005226 
0.008809	0.005808 
0.009679	0.006283 
0.010340	0.006755 
0.011306	0.007356 
0.012111	0.007936 
0.013191	0.008579 
0.014606	0.009639 
0.016131	0.010748 
0.017970	0.011719 
0.019796	0.013122 
0.022073	0.014429 
0.025273	0.016475 
0.027243	0.018281 
0.029995	0.020211 
0.033205	0.022532 
0.036573	0.025116 
0.040211	0.028226 
0.045461	0.031273 
0.049611	0.035843 
0.056322	0.040816 
0.063280	0.045772 
0.071519	0.051697 
0.079828	0.058965 
0.089056	0.067661 
0.100248	0.076098 
0.111772	0.085623 
0.123954	0.096404 
0.137712	0.106974 
0.152512	0.122022 
0.166455	0.136144 
